input,name,address,lat,long
"275 Custer Avenue 228, Jersey City, New Jersey 07305",275 Custer Ave,"275 Custer Ave, Jersey City, NJ 07305, USA",40.6955955,-74.1014336
"275 Custer Avenue 228, Jersey City, New Jersey 07305",228 Custer Ave,"228 Custer Ave, Jersey City, NJ 07305, USA",40.6943488,-74.1000877
"10 Huron Avenue, Jersey City, New Jersey 07306",10 Huron Ave,"10 Huron Ave, Jersey City, NJ 07306, USA",40.7361598,-74.0617647
"2127 JFK Blvd, Jersey City, New Jersey 07305",2127 John F. Kennedy Blvd,"2127 John F. Kennedy Blvd, Jersey City, NJ 07305, USA",40.7116192,-74.0846162
"225 St. Paul's Ave  14F, Jersey City, New Jersey 07306",225 St Pauls Ave #14f,"225 St Pauls Ave #14f, Jersey City, NJ 07306, USA",40.73719639999999,-74.0611563
"132 Tuers Avenue, Jersey City, New Jersey 07306",132 Tuers Ave,"132 Tuers Ave, Jersey City, NJ 07306, USA",40.72904399999999,-74.063993
"151 St. Paul's Ave 1, Jersey City, New Jersey 07306",151 St Pauls Ave,"151 St Pauls Ave, Jersey City, NJ 07306, USA",40.7368058,-74.0578153
"151 St. Paul's Ave 1, Jersey City, New Jersey 07306",1 St Pauls Ave,"1 St Pauls Ave, Jersey City, NJ 07306, USA",40.733475,-74.0510583
"268-270 Claremont Ave, Jersey City, New Jersey 07305",268 Claremont Ave,"268 Claremont Ave, Jersey City, NJ 07305, USA",40.71247229999999,-74.0845014
"10 Huron Ave  Apt 2D, Jersey City, New Jersey 07306",10 Huron Ave #2d,"10 Huron Ave #2d, Jersey City, NJ 07306, USA",40.7361598,-74.0617647
"3458 JFK BLVD, Jersey City, New Jersey 07307",3458 John F. Kennedy Blvd,"3458 John F. Kennedy Blvd, Jersey City, NJ 07307, USA",40.7501815,-74.0542074
"201 9th Street, Jersey City, New Jersey 07302",201 9th St,"201 9th St, Jersey City, NJ 07302, USA",40.7280035,-74.0422562
"291 Centra Avel  Apt C2, Jersey City, New Jersey 07307",NA,NA,NA,NA
"61 Broadman Parkway, Jersey City, New Jersey 07305",61 Broadman Pkwy,"61 Broadman Pkwy, Jersey City, NJ 07305, USA",40.7124988,-74.088184
"401 WASHINGTON BLVD. APT. 3602, Jersey City, New Jersey 07310",401 Washington Blvd #3602,"401 Washington Blvd #3602, Jersey City, NJ 07310, USA",40.7219968,-74.0369336
"156 Hutton St Apt 1, Jersey City, New Jersey 07307",156 Hutton St #1,"156 Hutton St #1, Jersey City, NJ 07307, USA",40.7458669,-74.0528517
"4 beacon Way #414, Jersey City, New Jersey 07304",NA,NA,NA,NA
"44 Armstrong Avenue, Jersey City, New Jersey 07305",44 Armstrong Ave,"44 Armstrong Ave, Jersey City, NJ 07305, USA",40.7001009,-74.082948
"32 Mill Road, Jersey City, New Jersey 07302",32 Mill Rd,"32 Mill Rd, Jersey City, NJ 07302, USA",40.72431599999999,-74.061555
"212 Custer Avenue, Jersey City, New Jersey 07305",212 Custer Ave,"212 Custer Ave, Jersey City, NJ 07305, USA",40.693974,-74.099444
"123 Columbia Avenue, Jersey City, New Jersey 07307",123 Columbia Ave,"123 Columbia Ave, Jersey City, NJ 07307, USA",40.752383,-74.0544092
"305 Whiton Street, Jersey City, New Jersey 07304",305 Whiton St,"305 Whiton St, Jersey City, NJ 07304, USA",40.7118407,-74.0611627
"10 Huron Avenue, Jersey City, New Jersey 07306",10 Huron Ave,"10 Huron Ave, Jersey City, NJ 07306, USA",40.7361598,-74.0617647
"45 River Drive South #903, Jersey City, New Jersey 07310",NA,NA,NA,NA
"100 Beacon Ave  Apt 31, Jersey City, New Jersey 07306",100 Beacon Ave #31,"100 Beacon Ave #31, Jersey City, NJ 07306, USA",40.7370147,-74.05441139999999
"56 Saint Paul's Ave  Apt 6, Jersey City, New Jersey 07306",56 St Pauls Ave #6,"56 St Pauls Ave #6, Jersey City, NJ 07306, USA",40.734934,-74.053392
"100 Beacon Ave Apt 31, Jersey City, New Jersey 07306",100 Beacon Ave #31,"100 Beacon Ave #31, Jersey City, NJ 07306, USA",40.7370147,-74.05441139999999
"93 Fairview Ave D6, Jersey City, New Jersey 07304",93 Fairview Ave d6,"93 Fairview Ave d6, Jersey City, NJ 07304, USA",40.7233233,-74.0726274
"44 Roosevelt Avenue, Jersey City, New Jersey 07304",44 Roosevelt Ave,"44 Roosevelt Ave, Jersey City, NJ 07304, USA",40.7210123,-74.08342309999999
"2700 John F. Kennedy Blv  Apt 502, Jersey City, New Jersey 07306",2700 John F. Kennedy Blvd #502,"2700 John F. Kennedy Blvd #502, Jersey City, NJ 07306, USA",40.7284844,-74.06983749999999
"328 Columbia Avenue, Jersey City, New Jersey 07307",328 Columbia Ave,"328 Columbia Ave, Jersey City, NJ 07307, USA",40.7588174,-74.0497261
"182 Thorne St. 6, Jersey City, New Jersey 07307",182 Thorne St,"182 Thorne St, Jersey City, NJ 07307, USA",40.7519225,-74.05578539999999
"182 Thorne St. 6, Jersey City, New Jersey 07307",6 Thorne St,"6 Thorne St, Jersey City, NJ 07307, USA",40.74885219999999,-74.0478542
"50 Walls Ave Apt.2, Jersey City, New Jersey 07306",NA,NA,NA,NA
"194 Hutton St Apt 1, Jersey City, New Jersey 07307",194 Hutton St #1,"194 Hutton St #1, Jersey City, NJ 07307, USA",40.7465073,-74.0541908
"55 Lincoln St Apt 202, Jersey City, New Jersey 07307",55 Lincoln St #202,"55 Lincoln St #202, Jersey City, NJ 07307, USA",40.7474911,-74.0516332
"312 9th Street, Jersey City, New Jersey 07302",312 9th St,"312 9th St, Jersey City, NJ 07302, USA",40.7287708,-74.0477525
"43 Van Wagenen Avenue 3A, Jersey City, New Jersey 07306",43 Van Wagenen Ave #3a,"43 Van Wagenen Ave #3a, Jersey City, NJ 07306, USA",40.73172,-74.071105
"2672 JFK BLVD 205, Jersey City, New Jersey 07306",2672 John F. Kennedy Blvd,"2672 John F. Kennedy Blvd, Jersey City, NJ 07306, USA",40.7276508,-74.0702709
"2672 JFK BLVD 205, Jersey City, New Jersey 07306",205 John F. Kennedy Blvd,"205 John F. Kennedy Blvd, Jersey City, NJ 07307, USA",40.7577194,-74.0459316
